Field=#~Integer~#~50|Field=Designator~String~Designator~179|Field=Part Number~String~Part Number~327|Field=Value~String~Value~150|Field=Description~String~Description~78|Field=PackageReference~String~PackageReference~145|Field=Quantity~Integer~Quantity~21|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PLC1.PrjPcb|ReportField=ProjectFullPath~C:\Users\User5\Desktop\WORK\PLC\MONITOR\PROJECT\PLC1.PrjPcb|ReportField=Title~Bill of Materials For Project [PLC1.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~331|ReportField=ReportTime~17:04:06|ReportField=ReportDate~08.02.2016|ReportField=ReportDateTime~08.02.2016 17:04:06|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Тертычный|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=CurrentDate~08.02.2016|ReportField=CurrentTime~17:01:04|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\User5\Desktop\WORK\PLC\MONITOR\PROJECT\PLC1.SchDoc|ReportField=DocumentName~PLC1.SchDoc|ReportField=DocumentNumber~|ReportField=DocumentType~Панель индикации|ReportField=DocumentType1str~{Документ}|ReportField=DocumentType2str~{Документ}|ReportField=DrawnBy~Тертычный|ReportField=Engineer~|ReportField=EngineerName~|ReportField=ImagePath~|ReportField=Letter1Column~{}|ReportField=Letter2Column~{}|ReportField=Letter3Column~{}|ReportField=Mass~{Масса}|ReportField=ModifiedDate~27.01.2016|ReportField=NormInspection~|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=False:CenterVertical=False:PrintScale=0.67:XCorrection=0.00:YCorrection=0.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=2970:PaperWidth=2100:Scale=100:PaperSource=7:PrintQuality=600:MediaType=1:DitherType=10:PaperKind=A4:PrintScaleMode=1|ReportField=ProcessInspection~|ReportField=ProjectName~PLC1.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=Scale~{Масш.}|ReportField=SheetNumber~1|ReportField=SheetTotal~2|ReportField=Time~|ReportField=Title~|ReportField=Title1str~{Наименование}|ReportField=Title2str~{Наименование}|ReportField=DataSourceFileName~PLC1.PrjPcb|ReportField=DataSourceFullPath~C:\Users\User5\Desktop\WORK\PLC\MONITOR\PROJECT\PLC1.PrjPcb
36|C6, C7, C8, C9, C10, C11, C12, C17, C18, C19, C20, C21, C22, C23, C24, C27, C37, C48, C49, C50, C51, C52, C53, C55, C58, C60, C63, C67, C68, C69, C70, C71, C73, C74, C75, C77, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C111, C112, C113, C117, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130|0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC103KAT2A, 0603YC103KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC103KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, CC0603JRNPO9BN100, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, GRM1885C1H180JA01D, GRM1885C1H180JA01D, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC103KAT2A, 0603YC103KAT2A, 0603YC103KAT2A, 0603YC103KAT2A, 0603YC103KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, GRM1885C1H120JA01D, GRM1885C1H120JA01D, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A|0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.01uF, 0.01uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.01uF, 0.1uF, 0.1uF, 0.1uF, 10 pF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 18 pF, 18 pF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.01uF, 0.01uF, 0.01uF, 0.01uF, 0.01uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 12pF, 12pF, 0.1uF, 0.1uF, 0.1uF, 0.1uF|[NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], 16V 0.1uF 10% X7R, 16V 0.1uF 10% X7R, 16V 0.1uF 10% X7R, 16V 0.1uF 10% X7R, 16V 0.1uF 10% X7R, 16V 0.1uF 10% X7R, 16V 0.1uF 10% X7R, [NoValue], 16V 0.1uF 10% X7R, 16V 0.1uF 10% X7R, 16V 0.1uF 10% X7R, [NoValue], 16V 0.1uF 10% X7R, 16V 0.1uF 10% X7R, [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue]|0603|83
37|C15, C25|C0805C104K5RACTU|0.1uF||0805|2
38|C114|KR-5R5C224-R|0.1F|supercapacitor 0.22 uF|AXIAL 10|1
39|BQ1|90M327(S)|||90SMX|1
40|DA1, DA3|IFX91041EJV50, IFX91041EJV||IFX91041EJV50, IFX91041EJV|PG-DSO-8-27|2
41|DA2|LM317LIPK||LM317LIPK|SOT-89|1
42|DA4|LM25575MH||LM25575MH|HTSSOP-16|1
43|DA5|TPS61041DBVR||TPS61041 step-Up|SOT-23-5|1
44|DA6, DA7|TPS73718DCQ||TPS73718DCQ|SOT-89|2
45|DA8|TC1044SEOA||TC1044SEOA|SOIC-8|1
